ascii_drawings
id,cat,elephant,frog,canadian_pride,wait_time,tag
1,off,off,off,off,5
2,off,off,off,off,60
3,off,off,off,on,5,short_canada
4,off,off,off,on,60,long_canada
5,off,off,on,off,5,short_frog
6,off,off,on,off,60,long_frog
7,off,off,on,on,5
8,off,off,on,on,60
9,off,on,off,off,5,short_elephant
10,off,on,off,off,60,long_elephant
11,off,on,off,on,5
12,off,on,off,on,60
13,off,on,on,off,5
14,off,on,on,off,60
15,off,on,on,on,5
16,off,on,on,on,60
17,on,off,off,off,5,short_cat
18,on,off,off,off,60,long_cat
19,on,off,off,on,5
20,on,off,off,on,60
21,on,off,on,off,5
22,on,off,on,off,60
23,on,off,on,on,5
24,on,off,on,on,60
25,on,on,off,off,5
26,on,on,off,off,60
27,on,on,off,on,5
28,on,on,off,on,60
29,on,on,on,off,5
30,on,on,on,off,60
31,on,on,on,on,5,short_all
32,on,on,on,on,60,long_all
